iter	Passed	Remaining
0	124	123996
1	126	63212
2	128	42604
3	129	32246
4	130	26016
5	131	21829
6	135	19152
7	136	16926
8	138	15197
9	139	13785
10	140	12612
11	141	11634
12	142	10813
13	145	10239
14	146	9651
15	148	9105
16	149	8621
17	150	8188
18	151	7799
19	152	7450
20	153	7147
21	156	6963
22	158	6711
23	159	6506
24	161	6289
25	162	6078
26	163	5883
27	164	5704
28	165	5535
29	166	5376
30	171	5374
31	173	5235
32	174	5108
33	175	4983
34	176	4864
35	177	4755
36	178	4648
37	179	4546
38	180	4448
39	181	4355
40	184	4309
41	185	4233
42	186	4159
43	187	4081
44	188	4008
45	189	3937
46	190	3869
47	191	3805
48	192	3743
49	193	3684
50	198	3702
51	200	3651
52	201	3601
53	203	3556
54	204	3507
55	205	3457
56	206	3411
57	207	3364
58	208	3318
59	209	3274
60	215	3313
61	216	3275
62	217	3238
63	218	3199
64	219	3161
65	220	3125
66	221	3089
67	222	3053
68	223	3019
69	224	2988
70	228	2988
71	229	2960
72	231	2933
73	232	2903
74	233	2873
75	234	2845
76	235	2817
77	235	2788
78	236	2761
79	237	2735
80	239	2711
81	245	2751
82	246	2725
83	248	2706
84	249	2685
85	250	2665
86	253	2655
87	262	2724
88	264	2703
89	265	2685
90	267	2670
91	269	2655
92	276	2692
93	277	2676
94	279	2658
95	280	2638
96	281	2619
97	282	2600
98	283	2584
99	289	2608
100	292	2599
101	293	2583
102	294	2566
103	295	2548
104	297	2531
105	298	2515
106	299	2499
107	304	2517
108	306	2501
109	307	2491
110	309	2476
111	310	2461
112	311	2446
113	312	2432
114	314	2416
115	321	2453
116	322	2436
117	324	2421
118	325	2408
119	341	2505
120	342	2491
121	343	2474
122	345	2460
123	351	2480
124	353	2474
125	354	2460
126	355	2444
127	357	2433
128	358	2422
129	359	2408
130	365	2425
131	367	2418
132	369	2406
133	370	2393
134	371	2381
135	372	2367
136	373	2355
137	375	2342
138	381	2360
139	382	2349
140	384	2344
141	385	2330
142	386	2319
143	388	2307
144	389	2296
145	390	2284
146	396	2301
147	397	2290
148	399	2279
149	400	2268
150	401	2257
151	402	2247
152	404	2236
153	405	2227
154	407	2222
155	409	2213
156	410	2204
157	411	2195
158	413	2186
159	414	2177
160	415	2165
161	419	2167
162	421	2163
163	422	2154
164	424	2145
165	425	2136
166	426	2126
167	427	2117
168	428	2108
169	430	2099
170	436	2118
171	438	2109
172	439	2099
173	440	2089
174	441	2079
175	442	2070
176	443	2060
177	444	2050
178	445	2043
179	447	2037
180	448	2029
181	449	2021
182	451	2013
183	452	2006
184	453	1998
185	459	2008
186	460	2003
187	462	1999
188	464	1991
189	465	1983
190	466	1975
191	467	1967
192	468	1958
193	473	1968
194	475	1962
195	476	1955
196	477	1947
197	480	1947
198	482	1940
199	483	1932
200	488	1943
201	490	1936
202	491	1930
203	492	1922
204	493	1914
205	494	1906
206	495	1898
207	496	1890
208	497	1884
209	500	1881
210	503	1881
211	504	1875
212	506	1871
213	507	1864
214	508	1857
215	510	1851
216	511	1844
217	512	1837
218	521	1858
219	523	1854
220	524	1849
221	525	1842
222	527	1838
223	529	1835
224	536	1849
225	538	1842
226	539	1836
227	540	1830
228	541	1824
229	543	1818
230	544	1812
231	545	1805
232	553	1820
233	554	1814
234	555	1807
235	556	1801
236	558	1798
237	560	1793
238	564	1797
239	566	1794
240	568	1789
241	570	1787
242	572	1782
243	573	1776
244	574	1771
245	581	1782
246	583	1778
247	584	1773
248	585	1767
249	587	1761
250	588	1755
251	589	1749
252	590	1743
253	598	1757
254	600	1753
255	601	1748
256	602	1742
257	603	1736
258	605	1731
259	606	1725
260	611	1730
261	613	1727
262	614	1722
263	615	1717
264	617	1711
265	618	1706
266	619	1700
267	620	1695
268	627	1705
269	629	1701
270	630	1695
271	631	1690
272	632	1684
273	633	1679
274	634	1673
275	635	1668
276	641	1673
277	642	1669
278	644	1664
279	645	1659
280	646	1653
281	647	1648
282	648	1643
283	649	1638
284	650	1632
285	658	1644
286	660	1640
287	664	1643
288	681	1675
289	683	1673
290	698	1700
291	699	1697
292	709	1711
293	712	1710
294	722	1727
295	729	1735
296	743	1759
297	744	1754
298	750	1760
299	752	1755
300	754	1752
301	756	1748
302	758	1743
303	759	1739
304	760	1733
305	767	1740
306	769	1736
307	770	1731
308	771	1726
309	773	1720
310	774	1714
311	774	1708
312	775	1703
313	786	1717
314	787	1713
315	789	1709
316	797	1717
317	798	1712
318	799	1707
319	801	1703
320	804	1702
321	807	1699
322	810	1698
323	812	1695
324	813	1690
325	824	1704
326	826	1700
327	827	1696
328	862	1759
329	910	1849
330	925	1871
331	927	1866
332	929	1861
333	930	1856
334	939	1865
335	941	1860
336	956	1881
337	966	1893
338	969	1890
339	972	1886
340	974	1882
341	981	1888
342	985	1887
343	986	1881
344	988	1876
345	989	1870
346	993	1869
347	1004	1881
348	1006	1876
